Series Id,Year,Period,Value
CUSR0000SA0,1982,M02,0.3
CUSR0000SA0,1982,M03,0.0
CUSR0000SA0,1982,M04,0.3
CUSR0000SA0,1982,M05,0.9
CUSR0000SA0,1982,M06,1.1
CUSR0000SA0,1982,M07,0.5
CUSR0000SA0,1982,M08,0.2
CUSR0000SA0,1982,M09,0.0
CUSR0000SA0,1982,M10,0.4
CUSR0000SA0,1982,M11,-0.1
CUSR0000SA0,1982,M12,-0.3
CUSR0000SA0,1983,M01,0.2
CUSR0000SA0,1983,M02,0.1
CUSR0000SA0,1983,M03,0.1
CUSR0000SA0,1983,M04,0.7
CUSR0000SA0,1983,M05,0.4
CUSR0000SA0,1983,M06,0.2
CUSR0000SA0,1983,M07,0.4
CUSR0000SA0,1983,M08,0.3
CUSR0000SA0,1983,M09,0.3
CUSR0000SA0,1983,M10,0.4
CUSR0000SA0,1983,M11,0.3
CUSR0000SA0,1983,M12,0.3
CUSR0000SA0,1984,M01,0.7
CUSR0000SA0,1984,M02,0.5
CUSR0000SA0,1984,M03,0.3
CUSR0000SA0,1984,M04,0.4
CUSR0000SA0,1984,M05,0.2
CUSR0000SA0,1984,M06,0.2
CUSR0000SA0,1984,M07,0.4
CUSR0000SA0,1984,M08,0.3
CUSR0000SA0,1984,M09,0.3
CUSR0000SA0,1984,M10,0.4
CUSR0000SA0,1984,M11,0.2
CUSR0000SA0,1984,M12,0.2
CUSR0000SA0,1985,M01,0.2
CUSR0000SA0,1985,M02,0.6
CUSR0000SA0,1985,M03,0.5
CUSR0000SA0,1985,M04,0.2
CUSR0000SA0,1985,M05,0.2
CUSR0000SA0,1985,M06,0.3
CUSR0000SA0,1985,M07,0.2
CUSR0000SA0,1985,M08,0.2
CUSR0000SA0,1985,M09,0.2
CUSR0000SA0,1985,M10,0.4
CUSR0000SA0,1985,M11,0.5
CUSR0000SA0,1985,M12,0.5
CUSR0000SA0,1986,M01,0.4
CUSR0000SA0,1986,M02,-0.2
CUSR0000SA0,1986,M03,-0.5
CUSR0000SA0,1986,M04,-0.4
CUSR0000SA0,1986,M05,0.3
CUSR0000SA0,1986,M06,0.4
CUSR0000SA0,1986,M07,0.1
CUSR0000SA0,1986,M08,0.1
CUSR0000SA0,1986,M09,0.4
CUSR0000SA0,1986,M10,0.2
CUSR0000SA0,1986,M11,0.2
CUSR0000SA0,1986,M12,0.4
CUSR0000SA0,1987,M01,0.5
CUSR0000SA0,1987,M02,0.4
CUSR0000SA0,1987,M03,0.4
CUSR0000SA0,1987,M04,0.4
CUSR0000SA0,1987,M05,0.3
CUSR0000SA0,1987,M06,0.4
CUSR0000SA0,1987,M07,0.3
CUSR0000SA0,1987,M08,0.4
CUSR0000SA0,1987,M09,0.3
CUSR0000SA0,1987,M10,0.3
CUSR0000SA0,1987,M11,0.3
CUSR0000SA0,1987,M12,0.2
CUSR0000SA0,1988,M01,0.3
CUSR0000SA0,1988,M02,0.2
CUSR0000SA0,1988,M03,0.3
CUSR0000SA0,1988,M04,0.6
CUSR0000SA0,1988,M05,0.3
CUSR0000SA0,1988,M06,0.4
CUSR0000SA0,1988,M07,0.4
CUSR0000SA0,1988,M08,0.4
CUSR0000SA0,1988,M09,0.4
CUSR0000SA0,1988,M10,0.3
CUSR0000SA0,1988,M11,0.3
CUSR0000SA0,1988,M12,0.3
CUSR0000SA0,1989,M01,0.4
CUSR0000SA0,1989,M02,0.3
CUSR0000SA0,1989,M03,0.5
CUSR0000SA0,1989,M04,0.7
CUSR0000SA0,1989,M05,0.5
CUSR0000SA0,1989,M06,0.3
CUSR0000SA0,1989,M07,0.3
CUSR0000SA0,1989,M08,0.0
CUSR0000SA0,1989,M09,0.2
CUSR0000SA0,1989,M10,0.5
CUSR0000SA0,1989,M11,0.4
CUSR0000SA0,1989,M12,0.3
CUSR0000SA0,1990,M01,1.0
CUSR0000SA0,1990,M02,0.4
CUSR0000SA0,1990,M03,0.5
CUSR0000SA0,1990,M04,0.2
CUSR0000SA0,1990,M05,0.2
CUSR0000SA0,1990,M06,0.6
CUSR0000SA0,1990,M07,0.5
CUSR0000SA0,1990,M08,0.8
CUSR0000SA0,1990,M09,0.7
CUSR0000SA0,1990,M10,0.7
CUSR0000SA0,1990,M11,0.2
CUSR0000SA0,1990,M12,0.4
CUSR0000SA0,1991,M01,0.4
CUSR0000SA0,1991,M02,0.1
CUSR0000SA0,1991,M03,0.0
CUSR0000SA0,1991,M04,0.2
CUSR0000SA0,1991,M05,0.4
CUSR0000SA0,1991,M06,0.3
CUSR0000SA0,1991,M07,0.1
CUSR0000SA0,1991,M08,0.3
CUSR0000SA0,1991,M09,0.3
CUSR0000SA0,1991,M10,0.1
CUSR0000SA0,1991,M11,0.4
CUSR0000SA0,1991,M12,0.3
CUSR0000SA0,1992,M01,0.1
CUSR0000SA0,1992,M02,0.2
CUSR0000SA0,1992,M03,0.4
CUSR0000SA0,1992,M04,0.2
CUSR0000SA0,1992,M05,0.2
CUSR0000SA0,1992,M06,0.3
CUSR0000SA0,1992,M07,0.3
CUSR0000SA0,1992,M08,0.2
CUSR0000SA0,1992,M09,0.2
CUSR0000SA0,1992,M10,0.4
CUSR0000SA0,1992,M11,0.3
CUSR0000SA0,1992,M12,0.1
CUSR0000SA0,1993,M01,0.4
CUSR0000SA0,1993,M02,0.2
CUSR0000SA0,1993,M03,0.1
CUSR0000SA0,1993,M04,0.3
CUSR0000SA0,1993,M05,0.3
CUSR0000SA0,1993,M06,0.1
CUSR0000SA0,1993,M07,0.1
CUSR0000SA0,1993,M08,0.2
CUSR0000SA0,1993,M09,0.1
CUSR0000SA0,1993,M10,0.4
CUSR0000SA0,1993,M11,0.3
CUSR0000SA0,1993,M12,0.2
CUSR0000SA0,1994,M01,0.0
CUSR0000SA0,1994,M02,0.3
CUSR0000SA0,1994,M03,0.3
CUSR0000SA0,1994,M04,0.1
CUSR0000SA0,1994,M05,0.2
CUSR0000SA0,1994,M06,0.3
CUSR0000SA0,1994,M07,0.3
CUSR0000SA0,1994,M08,0.4
CUSR0000SA0,1994,M09,0.2
CUSR0000SA0,1994,M10,0.1
CUSR0000SA0,1994,M11,0.3
CUSR0000SA0,1994,M12,0.2
CUSR0000SA0,1995,M01,0.3
CUSR0000SA0,1995,M02,0.3
CUSR0000SA0,1995,M03,0.2
CUSR0000SA0,1995,M04,0.4
CUSR0000SA0,1995,M05,0.2
CUSR0000SA0,1995,M06,0.2
CUSR0000SA0,1995,M07,0.1
CUSR0000SA0,1995,M08,0.2
CUSR0000SA0,1995,M09,0.1
CUSR0000SA0,1995,M10,0.3
CUSR0000SA0,1995,M11,0.1
CUSR0000SA0,1995,M12,0.1
CUSR0000SA0,1996,M01,0.5
CUSR0000SA0,1996,M02,0.2
CUSR0000SA0,1996,M03,0.3
CUSR0000SA0,1996,M04,0.4
CUSR0000SA0,1996,M05,0.2
CUSR0000SA0,1996,M06,0.2
CUSR0000SA0,1996,M07,0.2
CUSR0000SA0,1996,M08,0.1
CUSR0000SA0,1996,M09,0.3
CUSR0000SA0,1996,M10,0.3
CUSR0000SA0,1996,M11,0.3
CUSR0000SA0,1996,M12,0.3
CUSR0000SA0,1997,M01,0.2
CUSR0000SA0,1997,M02,0.2
CUSR0000SA0,1997,M03,0.1
CUSR0000SA0,1997,M04,0.1
CUSR0000SA0,1997,M05,0.0
